Node name, sub deadline ratio, DSP, Shared mem, Const mem, data mem 0, data mem 1
read_u1_z_27_1x128, 0.48, None, None, 5, None, None
add_27, 0.13, 2, None, None, None, None
read_cell_hidden_1x1_28, 0.19, None, 3, None, None, None
multiply_32, 0.22, 2, None, None, None, None
read_u1_z_28_1x128, 0.32, None, None, 5, None, None
add_28, 0.19, 2, None, None, None, None
read_cell_hidden_1x1_29, 0.26, None, 3, None, None, None
multiply_33, 0.24, 2, None, None, None, None
read_u1_z_29_1x128, 0.35, None, None, 5, None, None
add_29, 0.22, 2, None, None, None, None
read_cell_hidden_1x1_30, 0.38, None, 3, None, None, None
multiply_34, 0.18, 2, None, None, None, None
read_u1_z_30_1x128, 0.12, None, None, 5, None, None
add_30, 0.41, 2, None, None, None, None
read_cell_hidden_1x1_31, 0.47, None, 3, None, None, None
multiply_35, 0.24, 2, None, None, None, None
read_u1_z_31_1x128, 0.16, None, None, 5, None, None
add_31, 0.21, 2, None, None, None, None
read_cell_hidden_1x1_32, 0.16, None, 3, None, None, None
multiply_36, 0.17, 2, None, None, None, None
read_u1_z_32_1x128, 0.48, None, None, 5, None, None
add_32, 0.27, 2, None, None, None, None
read_cell_hidden_1x1_33, 0.22, None, 3, None, None, None
multiply_37, 0.36, 2, None, None, None, None
read_u1_z_33_1x128, 0.50, None, None, 5, None, None
add_33, 0.22, 2, None, None, None, None
read_cell_hidden_1x1_34, 0.34, None, 3, None, None, None
multiply_38, 0.24, 2, None, None, None, None
read_u1_z_34_1x128, 0.22, None, None, 5, None, None
add_34, 0.29, 2, None, None, None, None
read_cell_hidden_1x1_35, 0.16, None, 3, None, None, None
multiply_39, 0.15, 2, None, None, None, None
read_u1_z_35_1x128, 0.46, None, None, 5, None, None
add_35, 0.23, 2, None, None, None, None
read_cell_hidden_1x1_36, 0.32, None, 3, None, None, None
multiply_40, 0.19, 2, None, None, None, None
read_u1_z_36_1x128, 0.32, None, None, 5, None, None
add_36, 0.25, 2, None, None, None, None
read_cell_hidden_1x1_37, 0.20, None, 3, None, None, None
multiply_41, 0.21, 2, None, None, None, None
read_u1_z_37_1x128, 0.22, None, None, 5, None, None
add_37, 0.43, 2, None, None, None, None
read_cell_hidden_1x1_38, 0.38, None, 3, None, None, None
multiply_42, 0.39, 2, None, None, None, None
read_u1_z_38_1x128, 0.32, None, None, 5, None, None
add_38, 0.34, 2, None, None, None, None
read_cell_hidden_1x1_39, 0.15, None, 3, None, None, None
multiply_43, 0.24, 2, None, None, None, None
read_u1_z_39_1x128, 0.26, None, None, 5, None, None
add_39, 0.32, 2, None, None, None, None
read_cell_hidden_1x1_40, 0.40, None, 3, None, None, None
multiply_44, 0.11, 2, None, None, None, None
read_u1_z_40_1x128, 0.48, None, None, 5, None, None
add_40, 0.31, 2, None, None, None, None
read_cell_hidden_1x1_41, 0.36, None, 3, None, None, None
multiply_45, 0.46, 2, None, None, None, None
read_u1_z_41_1x128, 0.20, None, None, 5, None, None
add_41, 0.34, 2, None, None, None, None
read_cell_hidden_1x1_42, 0.46, None, 3, None, None, None
multiply_46, 0.46, 2, None, None, None, None
read_u1_z_42_1x128, 0.38, None, None, 5, None, None
add_42, 0.37, 2, None, None, None, None
read_cell_hidden_1x1_43, 0.46, None, 3, None, None, None
multiply_47, 0.30, 2, None, None, None, None
read_u1_z_43_1x128, 0.50, None, None, 5, None, None
add_43, 0.17, 2, None, None, None, None
read_cell_hidden_1x1_44, 0.32, None, 3, None, None, None
multiply_48, 0.13, 2, None, None, None, None
read_u1_z_44_1x128, 0.32, None, None, 5, None, None
add_44, 0.11, 2, None, None, None, None
read_cell_hidden_1x1_45, 0.35, None, 3, None, None, None
multiply_49, 0.21, 2, None, None, None, None
read_u1_z_45_1x128, 0.48, None, None, 5, None, None
add_45, 0.12, 2, None, None, None, None
read_cell_hidden_1x1_46, 0.19, None, 3, None, None, None
multiply_50, 0.19, 2, None, None, None, None
read_u1_z_46_1x128, 0.21, None, None, 5, None, None
add_46, 0.10, 2, None, None, None, None
read_cell_hidden_1x1_47, 0.29, None, 3, None, None, None
multiply_51, 0.47, 2, None, None, None, None
read_u1_z_47_1x128, 0.49, None, None, 5, None, None
add_47, 0.42, 2, None, None, None, None
read_cell_hidden_1x1_48, 0.23, None, 3, None, None, None
multiply_52, 0.17, 2, None, None, None, None
read_u1_z_48_1x128, 0.36, None, None, 5, None, None
add_48, 0.19, 2, None, None, None, None
read_cell_hidden_1x1_49, 0.18, None, 3, None, None, None
multiply_53, 0.20, 2, None, None, None, None
read_u1_z_49_1x128, 0.19, None, None, 5, None, None
add_49, 0.22, 2, None, None, None, None
read_cell_hidden_1x1_50, 0.28, None, 3, None, None, None
multiply_54, 0.31, 2, None, None, None, None
read_u1_z_50_1x128, 0.26, None, None, 5, None, None
add_50, 0.43, 2, None, None, None, None
read_cell_hidden_1x1_51, 0.22, None, 3, None, None, None
multiply_55, 0.39, 2, None, None, None, None
read_u1_z_51_1x128, 0.33, None, None, 5, None, None
add_51, 0.32, 2, None, None, None, None
read_cell_hidden_1x1_52, 0.13, None, 3, None, None, None
multiply_56, 0.39, 2, None, None, None, None
read_u1_z_52_1x128, 0.26, None, None, 5, None, None
add_52, 0.22, 2, None, None, None, None
read_cell_hidden_1x1_53, 0.23, None, 3, None, None, None
multiply_57, 0.11, 2, None, None, None, None
read_u1_z_53_1x128, 0.40, None, None, 5, None, None
add_53, 0.24, 2, None, None, None, None
read_cell_hidden_1x1_54, 0.23, None, 3, None, None, None
multiply_58, 0.10, 2, None, None, None, None
read_u1_z_54_1x128, 0.22, None, None, 5, None, None
add_54, 0.18, 2, None, None, None, None
read_cell_hidden_1x1_55, 0.29, None, 3, None, None, None
multiply_59, 0.26, 2, None, None, None, None
read_u1_z_55_1x128, 0.41, None, None, 5, None, None
add_55, 0.13, 2, None, None, None, None
read_cell_hidden_1x1_56, 0.32, None, 3, None, None, None
multiply_60, 0.25, 2, None, None, None, None
read_u1_z_56_1x128, 0.19, None, None, 5, None, None
add_56, 0.17, 2, None, None, None, None
read_cell_hidden_1x1_57, 0.43, None, 3, None, None, None
multiply_61, 0.37, 2, None, None, None, None
read_u1_z_57_1x128, 0.35, None, None, 5, None, None
add_57, 0.14, 2, None, None, None, None
read_cell_hidden_1x1_58, 0.10, None, 3, None, None, None
multiply_62, 0.36, 2, None, None, None, None
read_u1_z_58_1x128, 0.37, None, None, 5, None, None
add_58, 0.12, 2, None, None, None, None
read_cell_hidden_1x1_59, 0.34, None, 3, None, None, None
multiply_63, 0.18, 2, None, None, None, None
read_u1_z_59_1x128, 0.46, None, None, 5, None, None
add_59, 0.50, 2, None, None, None, None
read_cell_hidden_1x1_60, 0.34, None, 3, None, None, None
multiply_64, 0.41, 2, None, None, None, None
read_u1_z_60_1x128, 0.27, None, None, 5, None, None
add_60, 0.27, 2, None, None, None, None
read_cell_hidden_1x1_61, 0.31, None, 3, None, None, None
multiply_65, 0.39, 2, None, None, None, None
read_u1_z_61_1x128, 0.31, None, None, 5, None, None
add_61, 0.38, 2, None, None, None, None
read_cell_hidden_1x1_62, 0.27, None, 3, None, None, None
multiply_66, 0.30, 2, None, None, None, None
read_u1_z_62_1x128, 0.13, None, None, 5, None, None
add_62, 0.34, 2, None, None, None, None
read_cell_hidden_1x1_63, 0.13, None, 3, None, None, None
multiply_67, 0.11, 2, None, None, None, None
read_u1_z_63_1x128, 0.28, None, None, 5, None, None
add_63, 0.39, 2, None, None, None, None
read_cell_hidden_1x1_64, 0.28, None, 3, None, None, None
multiply_68, 0.28, 2, None, None, None, None
read_u1_z_64_1x128, 0.19, None, None, 5, None, None
add_64, 0.15, 2, None, None, None, None
read_cell_hidden_1x1_65, 0.24, None, 3, None, None, None
multiply_69, 0.46, 2, None, None, None, None
read_u1_z_65_1x128, 0.11, None, None, 5, None, None
add_65, 0.25, 2, None, None, None, None
read_cell_hidden_1x1_66, 0.41, None, 3, None, None, None
multiply_70, 0.47, 2, None, None, None, None
read_u1_z_66_1x128, 0.27, None, None, 5, None, None
add_66, 0.14, 2, None, None, None, None
read_cell_hidden_1x1_67, 0.22, None, 3, None, None, None
multiply_71, 0.32, 2, None, None, None, None
read_u1_z_67_1x128, 0.31, None, None, 5, None, None
add_67, 0.26, 2, None, None, None, None
read_cell_hidden_1x1_68, 0.28, None, 3, None, None, None
multiply_72, 0.11, 2, None, None, None, None
read_u1_z_68_1x128, 0.26, None, None, 5, None, None
add_68, 0.35, 2, None, None, None, None
read_cell_hidden_1x1_69, 0.11, None, 3, None, None, None
multiply_73, 0.43, 2, None, None, None, None
read_u1_z_69_1x128, 0.36, None, None, 5, None, None
add_69, 0.19, 2, None, None, None, None
read_cell_hidden_1x1_70, 0.21, None, 3, None, None, None
multiply_74, 0.20, 2, None, None, None, None
read_u1_z_70_1x128, 0.22, None, None, 5, None, None
add_70, 0.37, 2, None, None, None, None
read_cell_hidden_1x1_71, 0.33, None, 3, None, None, None
multiply_75, 0.36, 2, None, None, None, None
read_u1_z_71_1x128, 0.33, None, None, 5, None, None
add_71, 0.17, 2, None, None, None, None
read_cell_hidden_1x1_72, 0.37, None, 3, None, None, None
multiply_76, 0.41, 2, None, None, None, None
read_u1_z_72_1x128, 0.12, None, None, 5, None, None
add_72, 0.25, 2, None, None, None, None
read_cell_hidden_1x1_73, 0.33, None, 3, None, None, None
multiply_77, 0.28, 2, None, None, None, None
read_u1_z_73_1x128, 0.11, None, None, 5, None, None
add_73, 0.11, 2, None, None, None, None
read_cell_hidden_1x1_74, 0.36, None, 3, None, None, None
multiply_78, 0.11, 2, None, None, None, None
read_u1_z_74_1x128, 0.22, None, None, 5, None, None
add_74, 0.33, 2, None, None, None, None
read_cell_hidden_1x1_75, 0.35, None, 3, None, None, None
multiply_79, 0.32, 2, None, None, None, None
read_u1_z_75_1x128, 0.18, None, None, 5, None, None
add_75, 0.21, 2, None, None, None, None
read_cell_hidden_1x1_76, 0.27, None, 3, None, None, None
multiply_80, 0.16, 2, None, None, None, None
read_u1_z_76_1x128, 0.19, None, None, 5, None, None
add_76, 0.14, 2, None, None, None, None
read_cell_hidden_1x1_77, 0.25, None, 3, None, None, None
multiply_81, 0.39, 2, None, None, None, None
read_u1_z_77_1x128, 0.21, None, None, 5, None, None
add_77, 0.38, 2, None, None, None, None
read_cell_hidden_1x1_78, 0.19, None, 3, None, None, None
multiply_82, 0.12, 2, None, None, None, None
read_u1_z_78_1x128, 0.43, None, None, 5, None, None
add_78, 0.14, 2, None, None, None, None
read_cell_hidden_1x1_79, 0.39, None, 3, None, None, None
multiply_83, 0.45, 2, None, None, None, None
read_u1_z_79_1x128, 0.17, None, None, 5, None, None
add_79, 0.21, 2, None, None, None, None
read_cell_hidden_1x1_80, 0.14, None, 3, None, None, None
multiply_84, 0.29, 2, None, None, None, None
read_u1_z_80_1x128, 0.48, None, None, 5, None, None
add_80, 0.34, 2, None, None, None, None
read_cell_hidden_1x1_81, 0.38, None, 3, None, None, None
multiply_85, 0.18, 2, None, None, None, None
read_u1_z_81_1x128, 0.19, None, None, 5, None, None
add_81, 0.32, 2, None, None, None, None
read_cell_hidden_1x1_82, 0.36, None, 3, None, None, None
multiply_86, 0.19, 2, None, None, None, None
read_u1_z_82_1x128, 0.19, None, None, 5, None, None
add_82, 0.14, 2, None, None, None, None
read_cell_hidden_1x1_83, 0.48, None, 3, None, None, None
multiply_87, 0.13, 2, None, None, None, None
read_u1_z_83_1x128, 0.46, None, None, 5, None, None
add_83, 0.34, 2, None, None, None, None
read_cell_hidden_1x1_84, 0.13, None, 3, None, None, None
multiply_88, 0.24, 2, None, None, None, None
read_u1_z_84_1x128, 0.36, None, None, 5, None, None
add_84, 0.32, 2, None, None, None, None
read_cell_hidden_1x1_85, 0.33, None, 3, None, None, None
multiply_89, 0.23, 2, None, None, None, None
read_u1_z_85_1x128, 0.11, None, None, 5, None, None
add_85, 0.38, 2, None, None, None, None
read_cell_hidden_1x1_86, 0.26, None, 3, None, None, None
multiply_90, 0.39, 2, None, None, None, None
read_u1_z_86_1x128, 0.50, None, None, 5, None, None
add_86, 0.26, 2, None, None, None, None
read_cell_hidden_1x1_87, 0.37, None, 3, None, None, None
multiply_91, 0.33, 2, None, None, None, None
read_u1_z_87_1x128, 0.26, None, None, 5, None, None
add_87, 0.13, 2, None, None, None, None
read_cell_hidden_1x1_88, 0.34, None, 3, None, None, None
multiply_92, 0.32, 2, None, None, None, None
read_u1_z_88_1x128, 0.34, None, None, 5, None, None
add_88, 0.30, 2, None, None, None, None
read_cell_hidden_1x1_89, 0.33, None, 3, None, None, None
multiply_93, 0.41, 2, None, None, None, None
read_u1_z_89_1x128, 0.28, None, None, 5, None, None
add_89, 0.20, 2, None, None, None, None
read_cell_hidden_1x1_90, 0.41, None, 3, None, None, None
multiply_94, 0.37, 2, None, None, None, None
read_u1_z_90_1x128, 0.48, None, None, 5, None, None
add_90, 0.42, 2, None, None, None, None
read_cell_hidden_1x1_91, 0.46, None, 3, None, None, None
multiply_95, 0.29, 2, None, None, None, None
read_u1_z_91_1x128, 0.19, None, None, 5, None, None
add_91, 0.20, 2, None, None, None, None
read_cell_hidden_1x1_92, 0.38, None, 3, None, None, None
multiply_96, 0.48, 2, None, None, None, None
read_u1_z_92_1x128, 0.36, None, None, 5, None, None
add_92, 0.33, 2, None, None, None, None
read_cell_hidden_1x1_93, 0.20, None, 3, None, None, None
multiply_97, 0.17, 2, None, None, None, None
read_u1_z_93_1x128, 0.31, None, None, 5, None, None
add_93, 0.32, 2, None, None, None, None
read_cell_hidden_1x1_94, 0.44, None, 3, None, None, None
multiply_98, 0.40, 2, None, None, None, None
read_u1_z_94_1x128, 0.13, None, None, 5, None, None
add_94, 0.29, 2, None, None, None, None
read_cell_hidden_1x1_95, 0.37, None, 3, None, None, None
multiply_99, 0.27, 2, None, None, None, None
read_u1_z_95_1x128, 0.35, None, None, 5, None, None
add_95, 0.31, 2, None, None, None, None
read_cell_hidden_1x1_96, 0.19, None, 3, None, None, None
multiply_100, 0.21, 2, None, None, None, None
read_u1_z_96_1x128, 0.10, None, None, 5, None, None
add_96, 0.23, 2, None, None, None, None
read_cell_hidden_1x1_97, 0.35, None, 3, None, None, None
multiply_101, 0.25, 2, None, None, None, None
read_u1_z_97_1x128, 0.19, None, None, 5, None, None
add_97, 0.29, 2, None, None, None, None
read_cell_hidden_1x1_98, 0.50, None, 3, None, None, None
multiply_102, 0.37, 2, None, None, None, None
read_u1_z_98_1x128, 0.26, None, None, 5, None, None
add_98, 0.20, 2, None, None, None, None
read_cell_hidden_1x1_99, 0.19, None, 3, None, None, None
multiply_103, 0.33, 2, None, None, None, None
read_u1_z_99_1x128, 0.35, None, None, 5, None, None
add_99, 0.49, 2, None, None, None, None
read_cell_hidden_1x1_100, 0.43, None, 3, None, None, None
multiply_104, 0.23, 2, None, None, None, None
read_u1_z_100_1x128, 0.49, None, None, 5, None, None
add_100, 0.40, 2, None, None, None, None
read_cell_hidden_1x1_101, 0.16, None, 3, None, None, None
multiply_105, 0.26, 2, None, None, None, None
read_u1_z_101_1x128, 0.17, None, None, 5, None, None
add_101, 0.24, 2, None, None, None, None
read_cell_hidden_1x1_102, 0.50, None, 3, None, None, None
multiply_106, 0.37, 2, None, None, None, None
read_u1_z_102_1x128, 0.28, None, None, 5, None, None
add_102, 0.50, 2, None, None, None, None
read_cell_hidden_1x1_103, 0.11, None, 3, None, None, None
multiply_107, 0.16, 2, None, None, None, None
read_u1_z_103_1x128, 0.33, None, None, 5, None, None
add_103, 0.12, 2, None, None, None, None
read_cell_hidden_1x1_104, 0.36, None, 3, None, None, None
multiply_108, 0.41, 2, None, None, None, None
read_u1_z_104_1x128, 0.19, None, None, 5, None, None
add_104, 0.39, 2, None, None, None, None
read_cell_hidden_1x1_105, 0.10, None, 3, None, None, None
multiply_109, 0.48, 2, None, None, None, None
read_u1_z_105_1x128, 0.18, None, None, 5, None, None
add_105, 0.45, 2, None, None, None, None
read_cell_hidden_1x1_106, 0.29, None, 3, None, None, None
multiply_110, 0.39, 2, None, None, None, None
read_u1_z_106_1x128, 0.20, None, None, 5, None, None
add_106, 0.34, 2, None, None, None, None
read_cell_hidden_1x1_107, 0.43, None, 3, None, None, None
multiply_111, 0.46, 2, None, None, None, None
read_u1_z_107_1x128, 0.17, None, None, 5, None, None
add_107, 0.18, 2, None, None, None, None
read_cell_hidden_1x1_108, 0.45, None, 3, None, None, None
multiply_112, 0.44, 2, None, None, None, None
read_u1_z_108_1x128, 0.35, None, None, 5, None, None
add_108, 0.40, 2, None, None, None, None
read_cell_hidden_1x1_109, 0.23, None, 3, None, None, None
multiply_113, 0.15, 2, None, None, None, None
read_u1_z_109_1x128, 0.21, None, None, 5, None, None
add_109, 0.11, 2, None, None, None, None
read_cell_hidden_1x1_110, 0.21, None, 3, None, None, None
multiply_114, 0.17, 2, None, None, None, None
read_u1_z_110_1x128, 0.37, None, None, 5, None, None
add_110, 0.37, 2, None, None, None, None
read_cell_hidden_1x1_111, 0.47, None, 3, None, None, None
multiply_115, 0.19, 2, None, None, None, None
read_u1_z_111_1x128, 0.23, None, None, 5, None, None
add_111, 0.26, 2, None, None, None, None
read_cell_hidden_1x1_112, 0.22, None, 3, None, None, None
multiply_116, 0.24, 2, None, None, None, None
read_u1_z_112_1x128, 0.49, None, None, 5, None, None
add_112, 0.45, 2, None, None, None, None
read_cell_hidden_1x1_113, 0.18, None, 3, None, None, None
multiply_117, 0.32, 2, None, None, None, None
read_u1_z_113_1x128, 0.42, None, None, 5, None, None
add_113, 0.19, 2, None, None, None, None
read_cell_hidden_1x1_114, 0.32, None, 3, None, None, None
multiply_118, 0.41, 2, None, None, None, None
read_u1_z_114_1x128, 0.39, None, None, 5, None, None
add_114, 0.33, 2, None, None, None, None
read_cell_hidden_1x1_115, 0.15, None, 3, None, None, None
multiply_119, 0.49, 2, None, None, None, None
read_u1_z_115_1x128, 0.29, None, None, 5, None, None
add_115, 0.37, 2, None, None, None, None
read_cell_hidden_1x1_116, 0.33, None, 3, None, None, None
multiply_120, 0.12, 2, None, None, None, None
read_u1_z_116_1x128, 0.13, None, None, 5, None, None
add_116, 0.36, 2, None, None, None, None
read_cell_hidden_1x1_117, 0.35, None, 3, None, None, None
multiply_121, 0.47, 2, None, None, None, None
read_u1_z_117_1x128, 0.18, None, None, 5, None, None
add_117, 0.12, 2, None, None, None, None
read_cell_hidden_1x1_118, 0.15, None, 3, None, None, None
multiply_122, 0.18, 2, None, None, None, None
read_u1_z_118_1x128, 0.50, None, None, 5, None, None
add_118, 0.18, 2, None, None, None, None
read_cell_hidden_1x1_119, 0.31, None, 3, None, None, None
multiply_123, 0.24, 2, None, None, None, None
read_u1_z_119_1x128, 0.38, None, None, 5, None, None
add_119, 0.25, 2, None, None, None, None
read_cell_hidden_1x1_120, 0.14, None, 3, None, None, None
multiply_124, 0.45, 2, None, None, None, None
read_u1_z_120_1x128, 0.29, None, None, 5, None, None
add_120, 0.45, 2, None, None, None, None
read_cell_hidden_1x1_121, 0.40, None, 3, None, None, None
multiply_125, 0.40, 2, None, None, None, None
read_u1_z_121_1x128, 0.45, None, None, 5, None, None
add_121, 0.26, 2, None, None, None, None
read_cell_hidden_1x1_122, 0.41, None, 3, None, None, None
multiply_126, 0.23, 2, None, None, None, None
read_u1_z_122_1x128, 0.22, None, None, 5, None, None
add_122, 0.37, 2, None, None, None, None
read_cell_hidden_1x1_123, 0.19, None, 3, None, None, None
multiply_127, 0.25, 2, None, None, None, None
read_u1_z_123_1x128, 0.24, None, None, 5, None, None
add_123, 0.49, 2, None, None, None, None
read_cell_hidden_1x1_124, 0.49, None, 3, None, None, None
multiply_128, 0.45, 2, None, None, None, None
read_u1_z_124_1x128, 0.42, None, None, 5, None, None
add_124, 0.35, 2, None, None, None, None
read_cell_hidden_1x1_125, 0.50, None, 3, None, None, None
multiply_129, 0.13, 2, None, None, None, None
read_u1_z_125_1x128, 0.17, None, None, 5, None, None
add_125, 0.34, 2, None, None, None, None
read_cell_hidden_1x1_126, 0.34, None, 3, None, None, None
multiply_130, 0.19, 2, None, None, None, None
read_u1_z_126_1x128, 0.37, None, None, 5, None, None
add_126, 0.26, 2, None, None, None, None
read_cell_hidden_1x1_127, 0.26, None, 3, None, None, None
multiply_131, 0.37, 2, None, None, None, None
read_u1_z_127_1x128, 0.21, None, None, 5, None, None
add_127, 0.16, 2, None, None, None, None
write_u1_z_sig_in, 0.25, None, None, None, 3, None
multiply_132, 0.36, 2, None, None, None, None
read_u1_r_0_1x128, 0.21, None, None, 5, None, None
add_129, 0.14, 2, None, None, None, None
read_b1_r, 0.13, None, None, 5, None, None
add_257, 0.15, 2, None, None, None, None
read_result_w1_r_1x128_in, 0.16, None, None, None, None, 3
read_u1_r_1_1x128, 0.40, None, None, 5, None, None
multiply_133, 0.23, 2, None, None, None, None
add_130, 0.20, 2, None, None, None, None
read_u1_r_2_1x128, 0.30, None, None, 5, None, None
multiply_134, 0.11, 2, None, None, None, None
add_131, 0.13, 2, None, None, None, None
read_u1_r_3_1x128, 0.39, None, None, 5, None, None
multiply_135, 0.19, 2, None, None, None, None
add_132, 0.49, 2, None, None, None, None
read_u1_r_4_1x128, 0.20, None, None, 5, None, None
multiply_136, 0.22, 2, None, None, None, None
add_133, 0.23, 2, None, None, None, None
read_u1_r_5_1x128, 0.41, None, None, 5, None, None
multiply_137, 0.25, 2, None, None, None, None
