Node name,sub deadline ratio,DSP,Shared mem,Const mem,data mem
read_u1_z_21_1x128,0.40,None,None,5,None
add_21,0.38,2,None,None,None
read_cell_hidden_1x1_0_22,0.14,None,3,None,None
multiply_26,0.46,2,None,None,None
read_u1_z_22_1x128,0.17,None,None,5,None
add_22,0.36,2,None,None,None
read_cell_hidden_1x1_0_23,0.29,None,3,None,None
multiply_27,0.13,2,None,None,None
read_u1_z_23_1x128,0.33,None,None,5,None
add_23,0.12,2,None,None,None
read_cell_hidden_1x1_0_24,0.13,None,3,None,None
multiply_28,0.42,2,None,None,None
read_u1_z_24_1x128,0.24,None,None,5,None
add_24,0.35,2,None,None,None
read_cell_hidden_1x1_0_25,0.49,None,3,None,None
multiply_29,0.40,2,None,None,None
read_u1_z_25_1x128,0.30,None,None,5,None
add_25,0.37,2,None,None,None
read_cell_hidden_1x1_0_26,0.31,None,3,None,None
multiply_30,0.48,2,None,None,None
read_u1_z_26_1x128,0.16,None,None,5,None
add_26,0.14,2,None,None,None
read_cell_hidden_1x1_0_27,0.22,None,3,None,None
multiply_31,0.16,2,None,None,None
read_u1_z_27_1x128,0.49,None,None,5,None
add_27,0.44,2,None,None,None
read_cell_hidden_1x1_0_28,0.26,None,3,None,None
multiply_32,0.37,2,None,None,None
read_u1_z_28_1x128,0.33,None,None,5,None
add_28,0.41,2,None,None,None
read_cell_hidden_1x1_0_29,0.35,None,3,None,None
multiply_33,0.50,2,None,None,None
read_u1_z_29_1x128,0.46,None,None,5,None
add_29,0.35,2,None,None,None
read_cell_hidden_1x1_0_30,0.34,None,3,None,None
multiply_34,0.18,2,None,None,None
read_u1_z_30_1x128,0.10,None,None,5,None
add_30,0.46,2,None,None,None
read_cell_hidden_1x1_0_31,0.16,None,3,None,None
multiply_35,0.19,2,None,None,None
read_u1_z_31_1x128,0.40,None,None,5,None
add_31,0.15,2,None,None,None
read_cell_hidden_1x1_0_32,0.41,None,3,None,None
multiply_36,0.25,2,None,None,None
read_u1_z_32_1x128,0.33,None,None,5,None
add_32,0.27,2,None,None,None
read_cell_hidden_1x1_0_33,0.47,None,3,None,None
multiply_37,0.11,2,None,None,None
read_u1_z_33_1x128,0.21,None,None,5,None
add_33,0.40,2,None,None,None
read_cell_hidden_1x1_0_34,0.16,None,3,None,None
multiply_38,0.35,2,None,None,None
read_u1_z_34_1x128,0.46,None,None,5,None
add_34,0.38,2,None,None,None
read_cell_hidden_1x1_0_35,0.48,None,3,None,None
multiply_39,0.29,2,None,None,None
read_u1_z_35_1x128,0.30,None,None,5,None
add_35,0.33,2,None,None,None
read_cell_hidden_1x1_0_36,0.12,None,3,None,None
multiply_40,0.38,2,None,None,None
read_u1_z_36_1x128,0.18,None,None,5,None
add_36,0.26,2,None,None,None
read_cell_hidden_1x1_0_37,0.43,None,3,None,None
multiply_41,0.44,2,None,None,None
read_u1_z_37_1x128,0.28,None,None,5,None
add_37,0.26,2,None,None,None
read_cell_hidden_1x1_0_38,0.48,None,3,None,None
multiply_42,0.32,2,None,None,None
read_u1_z_38_1x128,0.34,None,None,5,None
add_38,0.25,2,None,None,None
read_cell_hidden_1x1_0_39,0.38,None,3,None,None
multiply_43,0.42,2,None,None,None
read_u1_z_39_1x128,0.18,None,None,5,None
add_39,0.26,2,None,None,None
read_cell_hidden_1x1_0_40,0.30,None,3,None,None
multiply_44,0.45,2,None,None,None
read_u1_z_40_1x128,0.38,None,None,5,None
add_40,0.31,2,None,None,None
read_cell_hidden_1x1_0_41,0.39,None,3,None,None
multiply_45,0.30,2,None,None,None
read_u1_z_41_1x128,0.28,None,None,5,None
add_41,0.24,2,None,None,None
read_cell_hidden_1x1_0_42,0.43,None,3,None,None
multiply_46,0.38,2,None,None,None
read_u1_z_42_1x128,0.24,None,None,5,None
add_42,0.35,2,None,None,None
read_cell_hidden_1x1_0_43,0.29,None,3,None,None
multiply_47,0.13,2,None,None,None
read_u1_z_43_1x128,0.40,None,None,5,None
add_43,0.32,2,None,None,None
read_cell_hidden_1x1_0_44,0.23,None,3,None,None
multiply_48,0.17,2,None,None,None
read_u1_z_44_1x128,0.42,None,None,5,None
add_44,0.23,2,None,None,None
read_cell_hidden_1x1_0_45,0.24,None,3,None,None
multiply_49,0.45,2,None,None,None
read_u1_z_45_1x128,0.23,None,None,5,None
add_45,0.26,2,None,None,None
read_cell_hidden_1x1_0_46,0.44,None,3,None,None
multiply_50,0.35,2,None,None,None
read_u1_z_46_1x128,0.14,None,None,5,None
add_46,0.14,2,None,None,None
read_cell_hidden_1x1_0_47,0.43,None,3,None,None
multiply_51,0.30,2,None,None,None
read_u1_z_47_1x128,0.48,None,None,5,None
add_47,0.43,2,None,None,None
read_cell_hidden_1x1_0_48,0.40,None,3,None,None
multiply_52,0.33,2,None,None,None
read_u1_z_48_1x128,0.49,None,None,5,None
add_48,0.38,2,None,None,None
read_cell_hidden_1x1_0_49,0.13,None,3,None,None
multiply_53,0.26,2,None,None,None
read_u1_z_49_1x128,0.38,None,None,5,None
add_49,0.20,2,None,None,None
read_cell_hidden_1x1_0_50,0.38,None,3,None,None
multiply_54,0.11,2,None,None,None
read_u1_z_50_1x128,0.44,None,None,5,None
add_50,0.25,2,None,None,None
read_cell_hidden_1x1_0_51,0.16,None,3,None,None
multiply_55,0.26,2,None,None,None
read_u1_z_51_1x128,0.20,None,None,5,None
add_51,0.40,2,None,None,None
read_cell_hidden_1x1_0_52,0.22,None,3,None,None
multiply_56,0.25,2,None,None,None
read_u1_z_52_1x128,0.43,None,None,5,None
add_52,0.42,2,None,None,None
read_cell_hidden_1x1_0_53,0.31,None,3,None,None
multiply_57,0.24,2,None,None,None
read_u1_z_53_1x128,0.17,None,None,5,None
add_53,0.21,2,None,None,None
read_cell_hidden_1x1_0_54,0.35,None,3,None,None
multiply_58,0.22,2,None,None,None
read_u1_z_54_1x128,0.13,None,None,5,None
add_54,0.34,2,None,None,None
read_cell_hidden_1x1_0_55,0.34,None,3,None,None
multiply_59,0.29,2,None,None,None
read_u1_z_55_1x128,0.24,None,None,5,None
add_55,0.47,2,None,None,None
read_cell_hidden_1x1_0_56,0.44,None,3,None,None
multiply_60,0.14,2,None,None,None
read_u1_z_56_1x128,0.49,None,None,5,None
add_56,0.32,2,None,None,None
read_cell_hidden_1x1_0_57,0.31,None,3,None,None
multiply_61,0.40,2,None,None,None
read_u1_z_57_1x128,0.23,None,None,5,None
add_57,0.15,2,None,None,None
read_cell_hidden_1x1_0_58,0.38,None,3,None,None
multiply_62,0.34,2,None,None,None
read_u1_z_58_1x128,0.17,None,None,5,None
add_58,0.46,2,None,None,None
read_cell_hidden_1x1_0_59,0.44,None,3,None,None
multiply_63,0.21,2,None,None,None
read_u1_z_59_1x128,0.29,None,None,5,None
add_59,0.11,2,None,None,None
read_cell_hidden_1x1_0_60,0.41,None,3,None,None
multiply_64,0.16,2,None,None,None
read_u1_z_60_1x128,0.24,None,None,5,None
add_60,0.16,2,None,None,None
read_cell_hidden_1x1_0_61,0.44,None,3,None,None
multiply_65,0.32,2,None,None,None
read_u1_z_61_1x128,0.40,None,None,5,None
add_61,0.44,2,None,None,None
read_cell_hidden_1x1_0_62,0.27,None,3,None,None
multiply_66,0.37,2,None,None,None
read_u1_z_62_1x128,0.46,None,None,5,None
add_62,0.19,2,None,None,None
read_cell_hidden_1x1_0_63,0.37,None,3,None,None
multiply_67,0.20,2,None,None,None
read_u1_z_63_1x128,0.39,None,None,5,None
add_63,0.23,2,None,None,None
read_cell_hidden_1x1_0_64,0.28,None,3,None,None
multiply_68,0.21,2,None,None,None
read_u1_z_64_1x128,0.27,None,None,5,None
add_64,0.43,2,None,None,None
read_cell_hidden_1x1_0_65,0.32,None,3,None,None
multiply_69,0.45,2,None,None,None
read_u1_z_65_1x128,0.41,None,None,5,None
add_65,0.33,2,None,None,None
read_cell_hidden_1x1_0_66,0.49,None,3,None,None
multiply_70,0.36,2,None,None,None
read_u1_z_66_1x128,0.16,None,None,5,None
add_66,0.31,2,None,None,None
read_cell_hidden_1x1_0_67,0.49,None,3,None,None
multiply_71,0.33,2,None,None,None
read_u1_z_67_1x128,0.27,None,None,5,None
add_67,0.18,2,None,None,None
read_cell_hidden_1x1_0_68,0.49,None,3,None,None
multiply_72,0.38,2,None,None,None
read_u1_z_68_1x128,0.38,None,None,5,None
add_68,0.43,2,None,None,None
read_cell_hidden_1x1_0_69,0.15,None,3,None,None
multiply_73,0.31,2,None,None,None
read_u1_z_69_1x128,0.41,None,None,5,None
add_69,0.22,2,None,None,None
read_cell_hidden_1x1_0_70,0.46,None,3,None,None
multiply_74,0.40,2,None,None,None
read_u1_z_70_1x128,0.43,None,None,5,None
add_70,0.24,2,None,None,None
read_cell_hidden_1x1_0_71,0.16,None,3,None,None
multiply_75,0.26,2,None,None,None
read_u1_z_71_1x128,0.45,None,None,5,None
add_71,0.14,2,None,None,None
read_cell_hidden_1x1_0_72,0.23,None,3,None,None
multiply_76,0.32,2,None,None,None
read_u1_z_72_1x128,0.11,None,None,5,None
add_72,0.39,2,None,None,None
read_cell_hidden_1x1_0_73,0.48,None,3,None,None
multiply_77,0.17,2,None,None,None
read_u1_z_73_1x128,0.47,None,None,5,None
add_73,0.26,2,None,None,None
read_cell_hidden_1x1_0_74,0.32,None,3,None,None
multiply_78,0.47,2,None,None,None
read_u1_z_74_1x128,0.33,None,None,5,None
add_74,0.42,2,None,None,None
read_cell_hidden_1x1_0_75,0.15,None,3,None,None
multiply_79,0.48,2,None,None,None
read_u1_z_75_1x128,0.41,None,None,5,None
add_75,0.44,2,None,None,None
read_cell_hidden_1x1_0_76,0.18,None,3,None,None
multiply_80,0.50,2,None,None,None
read_u1_z_76_1x128,0.48,None,None,5,None
add_76,0.48,2,None,None,None
read_cell_hidden_1x1_0_77,0.36,None,3,None,None
multiply_81,0.43,2,None,None,None
read_u1_z_77_1x128,0.16,None,None,5,None
add_77,0.49,2,None,None,None
read_cell_hidden_1x1_0_78,0.15,None,3,None,None
multiply_82,0.33,2,None,None,None
read_u1_z_78_1x128,0.44,None,None,5,None
add_78,0.32,2,None,None,None
read_cell_hidden_1x1_0_79,0.44,None,3,None,None
multiply_83,0.11,2,None,None,None
read_u1_z_79_1x128,0.32,None,None,5,None
add_79,0.43,2,None,None,None
read_cell_hidden_1x1_0_80,0.11,None,3,None,None
multiply_84,0.10,2,None,None,None
read_u1_z_80_1x128,0.25,None,None,5,None
add_80,0.40,2,None,None,None
read_cell_hidden_1x1_0_81,0.18,None,3,None,None
multiply_85,0.31,2,None,None,None
read_u1_z_81_1x128,0.43,None,None,5,None
add_81,0.36,2,None,None,None
read_cell_hidden_1x1_0_82,0.22,None,3,None,None
multiply_86,0.17,2,None,None,None
read_u1_z_82_1x128,0.42,None,None,5,None
add_82,0.30,2,None,None,None
read_cell_hidden_1x1_0_83,0.49,None,3,None,None
multiply_87,0.35,2,None,None,None
read_u1_z_83_1x128,0.50,None,None,5,None
add_83,0.28,2,None,None,None
read_cell_hidden_1x1_0_84,0.41,None,3,None,None
multiply_88,0.24,2,None,None,None
read_u1_z_84_1x128,0.21,None,None,5,None
add_84,0.45,2,None,None,None
read_cell_hidden_1x1_0_85,0.48,None,3,None,None
multiply_89,0.23,2,None,None,None
read_u1_z_85_1x128,0.36,None,None,5,None
add_85,0.29,2,None,None,None
read_cell_hidden_1x1_0_86,0.29,None,3,None,None
multiply_90,0.45,2,None,None,None
read_u1_z_86_1x128,0.42,None,None,5,None
add_86,0.10,2,None,None,None
read_cell_hidden_1x1_0_87,0.43,None,3,None,None
multiply_91,0.19,2,None,None,None
read_u1_z_87_1x128,0.48,None,None,5,None
add_87,0.12,2,None,None,None
read_cell_hidden_1x1_0_88,0.32,None,3,None,None
multiply_92,0.25,2,None,None,None
read_u1_z_88_1x128,0.17,None,None,5,None
add_88,0.26,2,None,None,None
read_cell_hidden_1x1_0_89,0.49,None,3,None,None
multiply_93,0.20,2,None,None,None
read_u1_z_89_1x128,0.50,None,None,5,None
add_89,0.21,2,None,None,None
read_cell_hidden_1x1_0_90,0.10,None,3,None,None
multiply_94,0.25,2,None,None,None
read_u1_z_90_1x128,0.28,None,None,5,None
add_90,0.50,2,None,None,None
read_cell_hidden_1x1_0_91,0.20,None,3,None,None
multiply_95,0.30,2,None,None,None
read_u1_z_91_1x128,0.46,None,None,5,None
add_91,0.42,2,None,None,None
read_cell_hidden_1x1_0_92,0.21,None,3,None,None
multiply_96,0.26,2,None,None,None
read_u1_z_92_1x128,0.27,None,None,5,None
add_92,0.45,2,None,None,None
read_cell_hidden_1x1_0_93,0.15,None,3,None,None
multiply_97,0.13,2,None,None,None
read_u1_z_93_1x128,0.26,None,None,5,None
add_93,0.29,2,None,None,None
read_cell_hidden_1x1_0_94,0.12,None,3,None,None
multiply_98,0.18,2,None,None,None
read_u1_z_94_1x128,0.40,None,None,5,None
add_94,0.34,2,None,None,None
read_cell_hidden_1x1_0_95,0.12,None,3,None,None
multiply_99,0.44,2,None,None,None
read_u1_z_95_1x128,0.23,None,None,5,None
add_95,0.25,2,None,None,None
read_cell_hidden_1x1_0_96,0.25,None,3,None,None
multiply_100,0.44,2,None,None,None
read_u1_z_96_1x128,0.45,None,None,5,None
add_96,0.31,2,None,None,None
read_cell_hidden_1x1_0_97,0.19,None,3,None,None
multiply_101,0.36,2,None,None,None
read_u1_z_97_1x128,0.37,None,None,5,None
add_97,0.40,2,None,None,None
read_cell_hidden_1x1_0_98,0.12,None,3,None,None
multiply_102,0.16,2,None,None,None
read_u1_z_98_1x128,0.23,None,None,5,None
add_98,0.42,2,None,None,None
read_cell_hidden_1x1_0_99,0.35,None,3,None,None
multiply_103,0.16,2,None,None,None
read_u1_z_99_1x128,0.20,None,None,5,None
add_99,0.40,2,None,None,None
read_cell_hidden_1x1_0_100,0.39,None,3,None,None
multiply_104,0.49,2,None,None,None
read_u1_z_100_1x128,0.43,None,None,5,None
add_100,0.38,2,None,None,None
read_cell_hidden_1x1_0_101,0.35,None,3,None,None
multiply_105,0.36,2,None,None,None
read_u1_z_101_1x128,0.45,None,None,5,None
add_101,0.25,2,None,None,None
read_cell_hidden_1x1_0_102,0.13,None,3,None,None
multiply_106,0.12,2,None,None,None
read_u1_z_102_1x128,0.15,None,None,5,None
add_102,0.48,2,None,None,None
read_cell_hidden_1x1_0_103,0.47,None,3,None,None
multiply_107,0.28,2,None,None,None
read_u1_z_103_1x128,0.30,None,None,5,None
add_103,0.28,2,None,None,None
read_cell_hidden_1x1_0_104,0.20,None,3,None,None
multiply_108,0.31,2,None,None,None
read_u1_z_104_1x128,0.45,None,None,5,None
add_104,0.26,2,None,None,None
read_cell_hidden_1x1_0_105,0.50,None,3,None,None
multiply_109,0.44,2,None,None,None
read_u1_z_105_1x128,0.42,None,None,5,None
add_105,0.15,2,None,None,None
read_cell_hidden_1x1_0_106,0.23,None,3,None,None
multiply_110,0.26,2,None,None,None
read_u1_z_106_1x128,0.30,None,None,5,None
add_106,0.26,2,None,None,None
read_cell_hidden_1x1_0_107,0.42,None,3,None,None
multiply_111,0.42,2,None,None,None
read_u1_z_107_1x128,0.27,None,None,5,None
add_107,0.49,2,None,None,None
read_cell_hidden_1x1_0_108,0.12,None,3,None,None
multiply_112,0.49,2,None,None,None
read_u1_z_108_1x128,0.36,None,None,5,None
add_108,0.48,2,None,None,None
read_cell_hidden_1x1_0_109,0.22,None,3,None,None
multiply_113,0.20,2,None,None,None
read_u1_z_109_1x128,0.50,None,None,5,None
add_109,0.49,2,None,None,None
read_cell_hidden_1x1_0_110,0.31,None,3,None,None
multiply_114,0.37,2,None,None,None
read_u1_z_110_1x128,0.25,None,None,5,None
add_110,0.45,2,None,None,None
read_cell_hidden_1x1_0_111,0.40,None,3,None,None
multiply_115,0.16,2,None,None,None
read_u1_z_111_1x128,0.27,None,None,5,None
add_111,0.28,2,None,None,None
read_cell_hidden_1x1_0_112,0.33,None,3,None,None
multiply_116,0.43,2,None,None,None
read_u1_z_112_1x128,0.36,None,None,5,None
add_112,0.43,2,None,None,None
read_cell_hidden_1x1_0_113,0.29,None,3,None,None
multiply_117,0.34,2,None,None,None
read_u1_z_113_1x128,0.15,None,None,5,None
add_113,0.19,2,None,None,None
read_cell_hidden_1x1_0_114,0.43,None,3,None,None
multiply_118,0.23,2,None,None,None
read_u1_z_114_1x128,0.38,None,None,5,None
add_114,0.26,2,None,None,None
read_cell_hidden_1x1_0_115,0.40,None,3,None,None
multiply_119,0.21,2,None,None,None
read_u1_z_115_1x128,0.18,None,None,5,None
add_115,0.41,2,None,None,None
read_cell_hidden_1x1_0_116,0.37,None,3,None,None
multiply_120,0.38,2,None,None,None
read_u1_z_116_1x128,0.14,None,None,5,None
add_116,0.24,2,None,None,None
read_cell_hidden_1x1_0_117,0.33,None,3,None,None
multiply_121,0.31,2,None,None,None
read_u1_z_117_1x128,0.35,None,None,5,None
add_117,0.18,2,None,None,None
read_cell_hidden_1x1_0_118,0.47,None,3,None,None
multiply_122,0.31,2,None,None,None
read_u1_z_118_1x128,0.21,None,None,5,None
add_118,0.13,2,None,None,None
read_cell_hidden_1x1_0_119,0.38,None,3,None,None
multiply_123,0.22,2,None,None,None
read_u1_z_119_1x128,0.15,None,None,5,None
add_119,0.48,2,None,None,None
read_cell_hidden_1x1_0_120,0.14,None,3,None,None
multiply_124,0.13,2,None,None,None
read_u1_z_120_1x128,0.16,None,None,5,None
add_120,0.50,2,None,None,None
read_cell_hidden_1x1_0_121,0.50,None,3,None,None
multiply_125,0.12,2,None,None,None
read_u1_z_121_1x128,0.12,None,None,5,None
add_121,0.16,2,None,None,None
read_cell_hidden_1x1_0_122,0.22,None,3,None,None
multiply_126,0.14,2,None,None,None
read_u1_z_122_1x128,0.16,None,None,5,None
add_122,0.47,2,None,None,None
read_cell_hidden_1x1_0_123,0.34,None,3,None,None
multiply_127,0.14,2,None,None,None
read_u1_z_123_1x128,0.25,None,None,5,None
add_123,0.39,2,None,None,None
read_cell_hidden_1x1_0_124,0.22,None,3,None,None
multiply_128,0.11,2,None,None,None
read_u1_z_124_1x128,0.19,None,None,5,None
add_124,0.38,2,None,None,None
read_cell_hidden_1x1_0_125,0.50,None,3,None,None
multiply_129,0.37,2,None,None,None
read_u1_z_125_1x128,0.20,None,None,5,None
add_125,0.38,2,None,None,None
read_cell_hidden_1x1_0_126,0.47,None,3,None,None
multiply_130,0.48,2,None,None,None
read_u1_z_126_1x128,0.14,None,None,5,None
add_126,0.15,2,None,None,None
read_cell_hidden_1x1_0_127,0.33,None,3,None,None
multiply_131,0.38,2,None,None,None
read_u1_z_127_1x128,0.42,None,None,5,None
add_127,0.24,2,None,None,None
write_u1_z_sig_in,0.16,None,None,None,3
multiply_132,0.16,2,None,None,None
read_u1_r_0_1x128,0.38,None,None,5,None
add_129,0.27,2,None,None,None
read_b1_r,0.46,None,None,5,None
add_257,0.39,2,None,None,None
read_result_w1_r_1x128_in,0.29,None,None,None,3
read_u1_r_1_1x128,0.18,None,None,5,None
multiply_133,0.46,2,None,None,None
add_130,0.34,2,None,None,None
read_u1_r_2_1x128,0.18,None,None,5,None
multiply_134,0.24,2,None,None,None
add_131,0.19,2,None,None,None
read_u1_r_3_1x128,0.39,None,None,5,None
multiply_135,0.38,2,None,None,None
add_132,0.36,2,None,None,None
read_u1_r_4_1x128,0.28,None,None,5,None
multiply_136,0.11,2,None,None,None
add_133,0.24,2,None,None,None
read_u1_r_5_1x128,0.47,None,None,5,None
multiply_137,0.16,2,None,None,None
add_134,0.19,2,None,None,None
read_u1_r_6_1x128,0.42,None,None,5,None
multiply_138,0.17,2,None,None,None
add_135,0.38,2,None,None,None
read_u1_r_7_1x128,0.33,None,None,5,None
multiply_139,0.34,2,None,None,None
add_136,0.49,2,None,None,None
read_u1_r_8_1x128,0.39,None,None,5,None
multiply_140,0.19,2,None,None,None
add_137,0.29,2,None,None,None
read_u1_r_9_1x128,0.19,None,None,5,None
multiply_141,0.45,2,None,None,None
add_138,0.39,2,None,None,None
read_u1_r_10_1x128,0.22,None,None,5,None
multiply_142,0.20,2,None,None,None
add_139,0.17,2,None,None,None
read_u1_r_11_1x128,0.19,None,None,5,None
multiply_143,0.22,2,None,None,None
add_140,0.15,2,None,None,None
read_u1_r_12_1x128,0.29,None,None,5,None
multiply_144,0.47,2,None,None,None
add_141,0.25,2,None,None,None
read_u1_r_13_1x128,0.49,None,None,5,None
multiply_145,0.35,2,None,None,None
add_142,0.23,2,None,None,None
read_u1_r_14_1x128,0.22,None,None,5,None
multiply_146,0.43,2,None,None,None
add_143,0.40,2,None,None,None
read_u1_r_15_1x128,0.32,None,None,5,None
multiply_147,0.25,2,None,None,None
add_144,0.39,2,None,None,None
read_u1_r_16_1x128,0.32,None,None,5,None
multiply_148,0.18,2,None,None,None
add_145,0.15,2,None,None,None
read_u1_r_17_1x128,0.16,None,None,5,None
multiply_149,0.43,2,None,None,None
add_146,0.38,2,None,None,None
read_u1_r_18_1x128,0.33,None,None,5,None
multiply_150,0.16,2,None,None,None
add_147,0.38,2,None,None,None
read_u1_r_19_1x128,0.38,None,None,5,None
multiply_151,0.30,2,None,None,None
add_148,0.30,2,None,None,None
read_u1_r_20_1x128,0.30,None,None,5,None
multiply_152,0.24,2,None,None,None
add_149,0.24,2,None,None,None
read_u1_r_21_1x128,0.44,None,None,5,None
multiply_153,0.46,2,None,None,None
add_150,0.26,2,None,None,None
read_u1_r_22_1x128,0.11,None,None,5,None
multiply_154,0.23,2,None,None,None
add_151,0.45,2,None,None,None
read_u1_r_23_1x128,0.19,None,None,5,None
multiply_155,0.40,2,None,None,None
add_152,0.50,2,None,None,None
read_u1_r_24_1x128,0.22,None,None,5,None
multiply_156,0.22,2,None,None,None
add_153,0.25,2,None,None,None
read_u1_r_25_1x128,0.30,None,None,5,None
multiply_157,0.39,2,None,None,None
add_154,0.24,2,None,None,None
read_u1_r_26_1x128,0.39,None,None,5,None
multiply_158,0.30,2,None,None,None
add_155,0.26,2,None,None,None
read_u1_r_27_1x128,0.39,None,None,5,None
multiply_159,0.48,2,None,None,None
add_156,0.44,2,None,None,None
read_u1_r_28_1x128,0.24,None,None,5,None
multiply_160,0.16,2,None,None,None
add_157,0.29,2,None,None,None
read_u1_r_29_1x128,0.44,None,None,5,None
multiply_161,0.25,2,None,None,None
add_158,0.47,2,None,None,None
read_u1_r_30_1x128,0.22,None,None,5,None
multiply_162,0.25,2,None,None,None
add_159,0.17,2,None,None,None
read_u1_r_31_1x128,0.14,None,None,5,None
multiply_163,0.15,2,None,None,None
add_160,0.36,2,None,None,None
read_u1_r_32_1x128,0.30,None,None,5,None
multiply_164,0.45,2,None,None,None
add_161,0.25,2,None,None,None
read_u1_r_33_1x128,0.11,None,None,5,None
multiply_165,0.44,2,None,None,None
add_162,0.41,2,None,None,None
read_u1_r_34_1x128,0.22,None,None,5,None
multiply_166,0.45,2,None,None,None
add_163,0.18,2,None,None,None
read_u1_r_35_1x128,0.23,None,None,5,None
multiply_167,0.32,2,None,None,None
add_164,0.49,2,None,None,None
read_u1_r_36_1x128,0.48,None,None,5,None
multiply_168,0.48,2,None,None,None
add_165,0.10,2,None,None,None
read_u1_r_37_1x128,0.35,None,None,5,None
multiply_169,0.31,2,None,None,None
add_166,0.33,2,None,None,None
read_u1_r_38_1x128,0.48,None,None,5,None
multiply_170,0.23,2,None,None,None
add_167,0.42,2,None,None,None
